"Model","Time","f","ll","ul"
"Univar A",70,NA,NA,NA
"Univar A",71,NA,NA,NA
"Univar A",72,NA,NA,NA
"Univar A",73,NA,NA,NA
"Univar A",74,NA,NA,NA
"Univar A",75,NA,NA,NA
"Univar A",76,NA,NA,NA
"Univar A",77,NA,NA,NA
"Univar A",78,NA,NA,NA
"Univar A",79,NA,NA,NA
"Univar A",80,NA,NA,NA
"Univar A",81,NA,NA,NA
"Univar A",82,NA,NA,NA
"Univar A",83,NA,NA,NA
"Univar A",84,NA,NA,NA
"Univar A",85,NA,NA,NA
"Univar A",86,NA,NA,NA
"Univar A",87,NA,NA,NA
"Univar A",88,NA,NA,NA
"Univar A",89,NA,NA,NA
"Univar A",90,NA,NA,NA
"Univar A",91,NA,NA,NA
"Univar A",92,NA,NA,NA
"Univar A",93,NA,NA,NA
"Univar A",94,NA,NA,NA
"Univar A",95,NA,NA,NA
"Univar A",96,NA,NA,NA
"Univar A",97,NA,NA,NA
"Univar A",98,NA,NA,NA
"Univar A",99,NA,NA,NA
"Univar A",100,NA,NA,NA
"Univar A",101,NA,NA,NA
"Univar A",102,NA,NA,NA
"Univar A",103,NA,NA,NA
"Univar A",104,NA,NA,NA
"Univar A",105,NA,NA,NA
"Univar A",106,NA,NA,NA
"Univar A",107,NA,NA,NA
"Univar A",108,NA,NA,NA
"Univar A",109,NA,NA,NA
"Univar A",110,NA,NA,NA
"Univar A",111,NA,NA,NA
"Univar A",112,NA,NA,NA
"Univar A",113,NA,NA,NA
"Univar A",114,NA,NA,NA
"Univar A",115,NA,NA,NA
"Univar A",116,NA,NA,NA
"Univar A",117,NA,NA,NA
"Univar A",118,NA,NA,NA
"Univar A",119,8.1089868281,8.08556858706414,8.13240506913586
"Univar A",120,8.12701019399,8.07672909812968,8.17729128985031
"Univar A",121,8.1370508854,8.11368310832136,8.16041866247863
"Univar A",122,8.15130501916,8.10113227401085,8.20147776430914
"Univar A",123,8.1719387186,8.14863954056368,8.19523789663632
"Univar A",124,8.18273157494,8.13270611818101,8.23275703169899
"Univar A",125,8.1742497545,8.15090415818728,8.19759535081272
"Univar A",126,8.17760189495,8.12747677392495,8.22772701597505
"Univar A",127,8.1939095083,8.17064179789161,8.21717721870839
"Univar A",128,8.19880787557,8.14884998267347,8.24876576846652
"Univar A",129,8.2124344999,8.18901777879815,8.23585122100185
"Univar A",130,8.21833899571,8.1680611632864,8.2686168281336
"Univar A",131,8.2173531429,8.19396763103959,8.24073865476041
"Univar A",132,8.21567447541,8.16546365206954,8.26588529875046
"Univar A",133,8.2286577546,8.20555856304509,8.25175694615491
"Univar A",134,8.23156923804,8.18197317046644,8.28116530561355
"Univar B",1,NA,NA,NA
"Univar B",2,NA,NA,NA
"Univar B",3,NA,NA,NA
"Univar B",4,NA,NA,NA
"Univar B",5,NA,NA,NA
"Univar B",6,NA,NA,NA
"Univar B",7,NA,NA,NA
"Univar B",8,NA,NA,NA
"Univar B",9,NA,NA,NA
"Univar B",10,NA,NA,NA
"Univar B",11,NA,NA,NA
"Univar B",12,NA,NA,NA
"Univar B",13,NA,NA,NA
"Univar B",14,NA,NA,NA
"Univar B",15,NA,NA,NA
"Univar B",16,NA,NA,NA
"Univar B",17,NA,NA,NA
"Univar B",18,NA,NA,NA
"Univar B",19,NA,NA,NA
"Univar B",20,NA,NA,NA
"Univar B",21,NA,NA,NA
"Univar B",22,NA,NA,NA
"Univar B",23,NA,NA,NA
"Univar B",24,NA,NA,NA
"Univar B",25,NA,NA,NA
"Univar B",26,NA,NA,NA
"Univar B",27,NA,NA,NA
"Univar B",28,NA,NA,NA
"Univar B",29,NA,NA,NA
"Univar B",30,NA,NA,NA
"Univar B",31,NA,NA,NA
"Univar B",32,NA,NA,NA
"Univar B",33,NA,NA,NA
"Univar B",34,NA,NA,NA
"Univar B",35,NA,NA,NA
"Univar B",36,NA,NA,NA
"Univar B",37,NA,NA,NA
"Univar B",38,NA,NA,NA
"Univar B",39,NA,NA,NA
"Univar B",40,NA,NA,NA
"Univar B",41,NA,NA,NA
"Univar B",42,NA,NA,NA
"Univar B",43,NA,NA,NA
"Univar B",44,NA,NA,NA
"Univar B",45,NA,NA,NA
"Univar B",46,NA,NA,NA
"Univar B",47,NA,NA,NA
"Univar B",48,NA,NA,NA
"Univar B",49,NA,NA,NA
"Univar B",50,NA,NA,NA
"Univar B",51,NA,NA,NA
"Univar B",52,NA,NA,NA
"Univar B",53,NA,NA,NA
"Univar B",54,NA,NA,NA
"Univar B",55,NA,NA,NA
"Univar B",56,NA,NA,NA
"Univar B",57,NA,NA,NA
"Univar B",58,NA,NA,NA
"Univar B",59,NA,NA,NA
"Univar B",60,NA,NA,NA
"Univar B",61,NA,NA,NA
"Univar B",62,NA,NA,NA
"Univar B",63,NA,NA,NA
"Univar B",64,NA,NA,NA
"Univar B",65,NA,NA,NA
"Univar B",66,NA,NA,NA
"Univar B",67,NA,NA,NA
"Univar B",68,NA,NA,NA
"Univar B",69,NA,NA,NA
"Univar B",70,NA,NA,NA
"Univar B",71,NA,NA,NA
"Univar B",72,NA,NA,NA
"Univar B",73,NA,NA,NA
"Univar B",74,NA,NA,NA
"Univar B",75,NA,NA,NA
"Univar B",76,NA,NA,NA
"Univar B",77,NA,NA,NA
"Univar B",78,NA,NA,NA
"Univar B",79,NA,NA,NA
"Univar B",80,NA,NA,NA
"Univar B",81,NA,NA,NA
"Univar B",82,NA,NA,NA
"Univar B",83,NA,NA,NA
"Univar B",84,NA,NA,NA
"Univar B",85,NA,NA,NA
"Univar B",86,NA,NA,NA
"Univar B",87,NA,NA,NA
"Univar B",88,NA,NA,NA
"Univar B",89,NA,NA,NA
"Univar B",90,NA,NA,NA
"Univar B",91,NA,NA,NA
"Univar B",92,NA,NA,NA
"Univar B",93,NA,NA,NA
"Univar B",94,NA,NA,NA
"Univar B",95,NA,NA,NA
"Univar B",96,NA,NA,NA
"Univar B",97,NA,NA,NA
"Univar B",98,NA,NA,NA
"Univar B",99,NA,NA,NA
"Univar B",100,NA,NA,NA
"Univar B",101,NA,NA,NA
"Univar B",102,NA,NA,NA
"Univar B",103,NA,NA,NA
"Univar B",104,NA,NA,NA
"Univar B",105,NA,NA,NA
"Univar B",106,NA,NA,NA
"Univar B",107,NA,NA,NA
"Univar B",108,NA,NA,NA
"Univar B",109,NA,NA,NA
"Univar B",110,NA,NA,NA
"Univar B",111,NA,NA,NA
"Univar B",112,NA,NA,NA
"Univar B",113,NA,NA,NA
"Univar B",114,NA,NA,NA
"Univar B",115,NA,NA,NA
"Univar B",116,NA,NA,NA
"Univar B",117,NA,NA,NA
"Univar B",118,NA,NA,NA
"Univar B",119,8.0982742948,8.06498403046438,8.13156455913562
"Univar B",120,8.11539463022,8.04391740143446,8.18687185900553
"Univar B",121,8.1442864883,8.1108000158541,8.1777729607459
"Univar B",122,8.17956010307,8.1076615976059,8.25145860853409
"Univar B",123,8.1665671535,8.13333008055647,8.19980422644353
"Univar B",124,8.17693433994999,8.10557131792665,8.24829736197334
"Univar B",125,8.1838210111,8.15068772484357,8.21695429735644
"Univar B",126,8.18624353179001,8.11510334923418,8.25738371434583
"Univar B",127,8.1883574987,8.15530846218681,8.22140653521319
"Univar B",128,8.18660145463,8.11564216394432,8.25756074531568
"Univar B",129,8.2206042564,8.18804002846237,8.25316848433763
"Univar B",130,8.22920397876,8.15928561623046,8.29912234128954
"Univar B",131,8.2220280826,8.18999769085175,8.25405847434825
"Univar B",132,8.22274054884,8.15396838121771,8.2915127164623
"Univar B",133,8.2375140127,8.20567435575471,8.26935366964529
"Univar B",134,8.23244857133,8.16408592869709,8.3008112139629
"Univar C",1,NA,NA,NA
"Univar C",2,NA,NA,NA
"Univar C",3,NA,NA,NA
"Univar C",4,NA,NA,NA
"Univar C",5,NA,NA,NA
"Univar C",6,NA,NA,NA
"Univar C",7,NA,NA,NA
"Univar C",8,NA,NA,NA
"Univar C",9,NA,NA,NA
"Univar C",10,NA,NA,NA
"Univar C",11,NA,NA,NA
"Univar C",12,NA,NA,NA
"Univar C",13,NA,NA,NA
"Univar C",14,NA,NA,NA
"Univar C",15,NA,NA,NA
"Univar C",16,NA,NA,NA
"Univar C",17,NA,NA,NA
"Univar C",18,NA,NA,NA
"Univar C",19,NA,NA,NA
"Univar C",20,NA,NA,NA
"Univar C",21,NA,NA,NA
"Univar C",22,NA,NA,NA
"Univar C",23,NA,NA,NA
"Univar C",24,NA,NA,NA
"Univar C",25,NA,NA,NA
"Univar C",26,NA,NA,NA
"Univar C",27,NA,NA,NA
"Univar C",28,NA,NA,NA
"Univar C",29,NA,NA,NA
"Univar C",30,NA,NA,NA
"Univar C",31,NA,NA,NA
"Univar C",32,NA,NA,NA
"Univar C",33,NA,NA,NA
"Univar C",34,NA,NA,NA
"Univar C",35,NA,NA,NA
"Univar C",36,NA,NA,NA
"Univar C",37,NA,NA,NA
"Univar C",38,NA,NA,NA
"Univar C",39,NA,NA,NA
"Univar C",40,NA,NA,NA
"Univar C",41,NA,NA,NA
"Univar C",42,NA,NA,NA
"Univar C",43,NA,NA,NA
"Univar C",44,NA,NA,NA
"Univar C",45,NA,NA,NA
"Univar C",46,NA,NA,NA
"Univar C",47,NA,NA,NA
"Univar C",48,NA,NA,NA
"Univar C",49,NA,NA,NA
"Univar C",50,NA,NA,NA
"Univar C",51,NA,NA,NA
"Univar C",52,NA,NA,NA
"Univar C",53,NA,NA,NA
"Univar C",54,NA,NA,NA
"Univar C",55,NA,NA,NA
"Univar C",56,NA,NA,NA
"Univar C",57,NA,NA,NA
"Univar C",58,NA,NA,NA
"Univar C",59,NA,NA,NA
"Univar C",60,NA,NA,NA
"Univar C",61,NA,NA,NA
"Univar C",62,NA,NA,NA
"Univar C",63,NA,NA,NA
"Univar C",64,NA,NA,NA
"Univar C",65,NA,NA,NA
"Univar C",66,NA,NA,NA
"Univar C",67,NA,NA,NA
"Univar C",68,NA,NA,NA
"Univar C",69,NA,NA,NA
"Univar C",70,NA,NA,NA
"Univar C",71,NA,NA,NA
"Univar C",72,NA,NA,NA
"Univar C",73,NA,NA,NA
"Univar C",74,NA,NA,NA
"Univar C",75,NA,NA,NA
"Univar C",76,NA,NA,NA
"Univar C",77,NA,NA,NA
"Univar C",78,NA,NA,NA
"Univar C",79,NA,NA,NA
"Univar C",80,NA,NA,NA
"Univar C",81,NA,NA,NA
"Univar C",82,NA,NA,NA
"Univar C",83,NA,NA,NA
"Univar C",84,NA,NA,NA
"Univar C",85,NA,NA,NA
"Univar C",86,NA,NA,NA
"Univar C",87,NA,NA,NA
"Univar C",88,NA,NA,NA
"Univar C",89,NA,NA,NA
"Univar C",90,NA,NA,NA
"Univar C",91,NA,NA,NA
"Univar C",92,NA,NA,NA
"Univar C",93,NA,NA,NA
"Univar C",94,NA,NA,NA
"Univar C",95,NA,NA,NA
"Univar C",96,NA,NA,NA
"Univar C",97,NA,NA,NA
"Univar C",98,NA,NA,NA
"Univar C",99,NA,NA,NA
"Univar C",100,NA,NA,NA
"Univar C",101,NA,NA,NA
"Univar C",102,NA,NA,NA
"Univar C",103,NA,NA,NA
"Univar C",104,NA,NA,NA
"Univar C",105,NA,NA,NA
"Univar C",106,NA,NA,NA
"Univar C",107,NA,NA,NA
"Univar C",108,NA,NA,NA
"Univar C",109,NA,NA,NA
"Univar C",110,NA,NA,NA
"Univar C",111,NA,NA,NA
"Univar C",112,NA,NA,NA
"Univar C",113,NA,NA,NA
"Univar C",114,NA,NA,NA
"Univar C",115,NA,NA,NA
"Univar C",116,NA,NA,NA
"Univar C",117,NA,NA,NA
"Univar C",118,NA,NA,NA
"Univar C",119,NA,NA,NA
"Univar C",120,NA,NA,NA
"Univar C",121,NA,NA,NA
"Univar C",122,NA,NA,NA
"Univar C",123,NA,NA,NA
"Univar C",124,NA,NA,NA
"Univar C",125,NA,NA,NA
"Univar C",126,NA,NA,NA
"Univar C",127,NA,NA,NA
"Univar C",128,NA,NA,NA
"Univar C",129,NA,NA,NA
"Univar C",130,NA,NA,NA
"Univar C",131,NA,NA,NA
"Univar C",132,NA,NA,NA
"Univar C",133,8.2375140127,8.20552155407186,8.26950647132814
"Univar C",134,8.23244857133,8.16375784957059,8.3011392930894
"Realization",1,7.249072901,7.249072901,7.249072901
"Realization",2,7.245084291,7.245084291,7.245084291
"Realization",3,7.257002707,7.257002707,7.257002707
"Realization",4,7.271564712,7.271564712,7.271564712
"Realization",5,7.292745534,7.292745534,7.292745534
"Realization",6,7.303641321,7.303641321,7.303641321
"Realization",7,7.316880348,7.316880348,7.316880348
"Realization",8,7.325609985,7.325609985,7.325609985
"Realization",9,7.323632657,7.323632657,7.323632657
"Realization",10,7.328174679,7.328174679,7.328174679
"Realization",11,7.328896866,7.328896866,7.328896866
"Realization",12,7.33992723,7.33992723,7.33992723
"Realization",13,7.348136979,7.348136979,7.348136979
"Realization",14,7.347557399,7.347557399,7.347557399
"Realization",15,7.353402177,7.353402177,7.353402177
"Realization",16,7.33778291,7.33778291,7.33778291
"Realization",17,7.317278807,7.317278807,7.317278807
"Realization",18,7.322642526,7.322642526,7.322642526
"Realization",19,7.34601021,7.34601021,7.34601021
"Realization",20,7.369411667,7.369411667,7.369411667
"Realization",21,7.381750929,7.381750929,7.381750929
"Realization",22,7.400620577,7.400620577,7.400620577
"Realization",23,7.396028498,7.396028498,7.396028498
"Realization",24,7.404522545,7.404522545,7.404522545
"Realization",25,7.421536531,7.421536531,7.421536531
"Realization",26,7.4186609,7.4186609,7.4186609
"Realization",27,7.419620362,7.419620362,7.419620362
"Realization",28,7.411012333,7.411012333,7.411012333
"Realization",29,7.421357046,7.421357046,7.421357046
"Realization",30,7.43372564,7.43372564,7.43372564
"Realization",31,7.44792609,7.44792609,7.44792609
"Realization",32,7.470167154,7.470167154,7.470167154
"Realization",33,7.483188172,7.483188172,7.483188172
"Realization",34,7.493539941,7.493539941,7.493539941
"Realization",35,7.502793366,7.502793366,7.502793366
"Realization",36,7.501137371,7.501137371,7.501137371
"Realization",37,7.514581753,7.514581753,7.514581753
"Realization",38,7.528331767,7.528331767,7.528331767
"Realization",39,7.545653985,7.545653985,7.545653985
"Realization",40,7.552814549,7.552814549,7.552814549
"Realization",41,7.574917763,7.574917763,7.574917763
"Realization",42,7.583451066,7.583451066,7.583451066
"Realization",43,7.593474944,7.593474944,7.593474944
"Realization",44,7.597747488,7.597747488,7.597747488
"Realization",45,7.619184323,7.619184323,7.619184323
"Realization",46,7.633563242,7.633563242,7.633563242
"Realization",47,7.649359235,7.649359235,7.649359235
"Realization",48,7.672106219,7.672106219,7.672106219
"Realization",49,7.691702484,7.691702484,7.691702484
"Realization",50,7.694301724,7.694301724,7.694301724
"Realization",51,7.704496416,7.704496416,7.704496416
"Realization",52,7.709398056,7.709398056,7.709398056
"Realization",53,7.715034394,7.715034394,7.715034394
"Realization",54,7.72099394,7.72099394,7.72099394
"Realization",55,7.735302225,7.735302225,7.735302225
"Realization",56,7.740925237,7.740925237,7.740925237
"Realization",57,7.752464076,7.752464076,7.752464076
"Realization",58,7.769336361,7.769336361,7.769336361
"Realization",59,7.777080182,7.777080182,7.777080182
"Realization",60,7.776115477,7.776115477,7.776115477
"Realization",61,7.790075491,7.790075491,7.790075491
"Realization",62,7.791440171,7.791440171,7.791440171
"Realization",63,7.796962542,7.796962542,7.796962542
"Realization",64,7.792968055,7.792968055,7.792968055
"Realization",65,7.786800945,7.786800945,7.786800945
"Realization",66,7.785928689,7.785928689,7.785928689
"Realization",67,7.798030524,7.798030524,7.798030524
"Realization",68,7.788957548,7.788957548,7.788957548
"Realization",69,7.815449164,7.815449164,7.815449164
"Realization",70,7.81536847,7.81536847,7.81536847
"Realization",71,7.820479659,7.820479659,7.820479659
"Realization",72,7.820439515,7.820439515,7.820439515
"Realization",73,7.842121658,7.842121658,7.842121658
"Realization",74,7.861380331,7.861380331,7.861380331
"Realization",75,7.871730802,7.871730802,7.871730802
"Realization",76,7.890320524,7.890320524,7.890320524
"Realization",77,7.913521017,7.913521017,7.913521017
"Realization",78,7.916078096,7.916078096,7.916078096
"Realization",79,7.915092569,7.915092569,7.915092569
"Realization",80,7.923999937,7.923999937,7.923999937
"Realization",81,7.918410289,7.918410289,7.918410289
"Realization",82,7.921245314,7.921245314,7.921245314
"Realization",83,7.908129773,7.908129773,7.908129773
"Realization",84,7.899301895,7.899301895,7.899301895
"Realization",85,7.879556401,7.879556401,7.879556401
"Realization",86,7.889683927,7.889683927,7.889683927
"Realization",87,7.906510399,7.906510399,7.906510399
"Realization",88,7.920337527,7.920337527,7.920337527
"Realization",89,7.938944891,7.938944891,7.938944891
"Realization",90,7.943392268,7.943392268,7.943392268
"Realization",91,7.947537169,7.947537169,7.947537169
"Realization",92,7.957457396,7.957457396,7.957457396
"Realization",93,7.971085754,7.971085754,7.971085754
"Realization",94,7.987082806,7.987082806,7.987082806
"Realization",95,8.006967388,8.006967388,8.006967388
"Realization",96,8.004398965,8.004398965,8.004398965
"Realization",97,8.01317766,8.01317766,8.01317766
"Realization",98,8.044273314,8.044273314,8.044273314
"Realization",99,8.052805762,8.052805762,8.052805762
"Realization",100,8.065139494,8.065139494,8.065139494
"Realization",101,8.065170924,8.065170924,8.065170924
"Realization",102,8.064290504,8.064290504,8.064290504
"Realization",103,8.073215919,8.073215919,8.073215919
"Realization",104,8.071312256,8.071312256,8.071312256
"Realization",105,8.081289494,8.081289494,8.081289494
"Realization",106,8.057377489,8.057377489,8.057377489
"Realization",107,8.058042456,8.058042456,8.058042456
"Realization",108,8.070656058,8.070656058,8.070656058
"Realization",109,8.089819841,8.089819841,8.089819841
"Realization",110,8.086471812,8.086471812,8.086471812
"Realization",111,8.090892523,8.090892523,8.090892523
"Realization",112,8.076919224,8.076919224,8.076919224
"Realization",113,8.061613042,8.061613042,8.061613042
"Realization",114,8.064605029,8.064605029,8.064605029
"Realization",115,8.056585284,8.056585284,8.056585284
"Realization",116,8.058105763,8.058105763,8.058105763
"Realization",117,8.066709797,8.066709797,8.066709797
"Realization",118,8.088960866,8.088960866,8.088960866
"Realization",119,8.103615263,8.103615263,8.103615263
"Realization",120,8.121212959,8.121212959,8.121212959
"Realization",121,8.146622142,8.146622142,8.146622142
"Realization",122,8.159946656,8.159946656,8.159946656
"Realization",123,8.166386709,8.166386709,8.166386709
"Realization",124,8.170525154,8.170525154,8.170525154
"Realization",125,8.182419511,8.182419511,8.182419511
"Realization",126,8.188466878,8.188466878,8.188466878
"Realization",127,8.198584448,8.198584448,8.198584448
"Realization",128,8.205873949,8.205873949,8.205873949
"Realization",129,8.221290758,8.221290758,8.221290758
"Realization",130,8.219218329,8.219218329,8.219218329
"Realization",131,8.221828349,8.221828349,8.221828349
"Realization",132,8.225422773,8.225422773,8.225422773
"Realization",133,8.236605891,8.236605891,8.236605891
"Realization",134,8.248790734,8.248790734,8.248790734
"AIC Both - R",1,NA,NA,NA
"AIC Both - R",2,NA,NA,NA
"AIC Both - R",3,NA,NA,NA
"AIC Both - R",4,NA,NA,NA
"AIC Both - R",5,NA,NA,NA
"AIC Both - R",6,NA,NA,NA
"AIC Both - R",7,NA,NA,NA
"AIC Both - R",8,NA,NA,NA
"AIC Both - R",9,NA,NA,NA
"AIC Both - R",10,NA,NA,NA
"AIC Both - R",11,NA,NA,NA
"AIC Both - R",12,NA,NA,NA
"AIC Both - R",13,NA,NA,NA
"AIC Both - R",14,NA,NA,NA
"AIC Both - R",15,NA,NA,NA
"AIC Both - R",16,NA,NA,NA
"AIC Both - R",17,NA,NA,NA
"AIC Both - R",18,NA,NA,NA
"AIC Both - R",19,NA,NA,NA
"AIC Both - R",20,NA,NA,NA
"AIC Both - R",21,NA,NA,NA
"AIC Both - R",22,NA,NA,NA
"AIC Both - R",23,NA,NA,NA
"AIC Both - R",24,NA,NA,NA
"AIC Both - R",25,NA,NA,NA
"AIC Both - R",26,NA,NA,NA
"AIC Both - R",27,NA,NA,NA
"AIC Both - R",28,NA,NA,NA
"AIC Both - R",29,NA,NA,NA
"AIC Both - R",30,NA,NA,NA
"AIC Both - R",31,NA,NA,NA
"AIC Both - R",32,NA,NA,NA
"AIC Both - R",33,NA,NA,NA
"AIC Both - R",34,NA,NA,NA
"AIC Both - R",35,NA,NA,NA
"AIC Both - R",36,NA,NA,NA
"AIC Both - R",37,NA,NA,NA
"AIC Both - R",38,NA,NA,NA
"AIC Both - R",39,NA,NA,NA
"AIC Both - R",40,NA,NA,NA
"AIC Both - R",41,NA,NA,NA
"AIC Both - R",42,NA,NA,NA
"AIC Both - R",43,NA,NA,NA
"AIC Both - R",44,NA,NA,NA
"AIC Both - R",45,NA,NA,NA
"AIC Both - R",46,NA,NA,NA
"AIC Both - R",47,NA,NA,NA
"AIC Both - R",48,NA,NA,NA
"AIC Both - R",49,NA,NA,NA
"AIC Both - R",50,NA,NA,NA
"AIC Both - R",51,NA,NA,NA
"AIC Both - R",52,NA,NA,NA
"AIC Both - R",53,NA,NA,NA
"AIC Both - R",54,NA,NA,NA
"AIC Both - R",55,NA,NA,NA
"AIC Both - R",56,NA,NA,NA
"AIC Both - R",57,NA,NA,NA
"AIC Both - R",58,NA,NA,NA
"AIC Both - R",59,NA,NA,NA
"AIC Both - R",60,NA,NA,NA
"AIC Both - R",61,NA,NA,NA
"AIC Both - R",62,NA,NA,NA
"AIC Both - R",63,NA,NA,NA
"AIC Both - R",64,NA,NA,NA
"AIC Both - R",65,NA,NA,NA
"AIC Both - R",66,NA,NA,NA
"AIC Both - R",67,NA,NA,NA
"AIC Both - R",68,NA,NA,NA
"AIC Both - R",69,NA,NA,NA
"AIC Both - R",70,NA,NA,NA
"AIC Both - R",71,NA,NA,NA
"AIC Both - R",72,NA,NA,NA
"AIC Both - R",73,NA,NA,NA
"AIC Both - R",74,NA,NA,NA
"AIC Both - R",75,NA,NA,NA
"AIC Both - R",76,NA,NA,NA
"AIC Both - R",77,NA,NA,NA
"AIC Both - R",78,NA,NA,NA
"AIC Both - R",79,NA,NA,NA
"AIC Both - R",80,NA,NA,NA
"AIC Both - R",81,NA,NA,NA
"AIC Both - R",82,NA,NA,NA
"AIC Both - R",83,NA,NA,NA
"AIC Both - R",84,NA,NA,NA
"AIC Both - R",85,NA,NA,NA
"AIC Both - R",86,NA,NA,NA
"AIC Both - R",87,NA,NA,NA
"AIC Both - R",88,NA,NA,NA
"AIC Both - R",89,NA,NA,NA
"AIC Both - R",90,NA,NA,NA
"AIC Both - R",91,NA,NA,NA
"AIC Both - R",92,NA,NA,NA
"AIC Both - R",93,NA,NA,NA
"AIC Both - R",94,NA,NA,NA
"AIC Both - R",95,NA,NA,NA
"AIC Both - R",96,NA,NA,NA
"AIC Both - R",97,NA,NA,NA
"AIC Both - R",98,NA,NA,NA
"AIC Both - R",99,NA,NA,NA
"AIC Both - R",100,NA,NA,NA
"AIC Both - R",101,NA,NA,NA
"AIC Both - R",102,NA,NA,NA
"AIC Both - R",103,NA,NA,NA
"AIC Both - R",104,NA,NA,NA
"AIC Both - R",105,NA,NA,NA
"AIC Both - R",106,NA,NA,NA
"AIC Both - R",107,NA,NA,NA
"AIC Both - R",108,NA,NA,NA
"AIC Both - R",109,NA,NA,NA
"AIC Both - R",110,NA,NA,NA
"AIC Both - R",111,NA,NA,NA
"AIC Both - R",112,NA,NA,NA
"AIC Both - R",113,NA,NA,NA
"AIC Both - R",114,NA,NA,NA
"AIC Both - R",115,NA,NA,NA
"AIC Both - R",116,NA,NA,NA
"AIC Both - R",117,NA,NA,NA
"AIC Both - R",118,NA,NA,NA
"AIC Both - R",119,8.1115965532287,8.09386987831635,8.12932322814104
"AIC Both - R",120,8.13248159509612,8.1058587202451,8.15910446994714
"AIC Both - R",121,8.13821384851707,8.1204867730566,8.15594092397754
"AIC Both - R",122,8.15346690524183,8.12695153334596,8.1799822771377
"AIC Both - R",123,8.17362819919461,8.15584335557654,8.19141304281269
"AIC Both - R",124,8.1870537103754,8.16049339387406,8.21361402687673
"AIC Both - R",125,8.18042145892726,8.16261972516458,8.19822319268994
"AIC Both - R",126,8.19095735767302,8.16428290715536,8.21763180819068
"AIC Both - R",127,8.20577296607601,8.18793183009259,8.22361410205943
"AIC Both - R",128,8.22159431562393,8.19502681434991,8.24816181689795
"AIC Both - R",129,8.22682001935109,8.20881049914279,8.2448295395594
"AIC Both - R",130,8.24517369564172,8.21831089475637,8.27203649652706
"AIC Both - R",131,8.24253248087358,8.22415325482557,8.26091170692158
"AIC Both - R",132,8.26778929543191,8.24049598906157,8.29508260180225
"AIC Both - R",133,8.24291266084916,8.22507274827182,8.2607525734265
"AIC Both - R",134,8.26098155075825,8.23470187626372,8.28726122525277
"AIC Trend - R",1,NA,NA,NA
"AIC Trend - R",2,NA,NA,NA
"AIC Trend - R",3,NA,NA,NA
"AIC Trend - R",4,NA,NA,NA
"AIC Trend - R",5,NA,NA,NA
"AIC Trend - R",6,NA,NA,NA
"AIC Trend - R",7,NA,NA,NA
"AIC Trend - R",8,NA,NA,NA
"AIC Trend - R",9,NA,NA,NA
"AIC Trend - R",10,NA,NA,NA
"AIC Trend - R",11,NA,NA,NA
"AIC Trend - R",12,NA,NA,NA
"AIC Trend - R",13,NA,NA,NA
"AIC Trend - R",14,NA,NA,NA
"AIC Trend - R",15,NA,NA,NA
"AIC Trend - R",16,NA,NA,NA
"AIC Trend - R",17,NA,NA,NA
"AIC Trend - R",18,NA,NA,NA
